user_id,age,gender,device_type,ad_category,previous_clicks,page_views,session_time,time_of_day,clicked
61,43,Male,Desktop,Travel,1,6,252,Afternoon,0
62,51,Male,Desktop,Electronics,7,26,562,Morning,0
63,27,Female,Tablet,Food,3,13,301,Night,0
64,53,Male,Tablet,Travel,9,9,301,Morning,0
65,31,Male,Desktop,Fashion,6,28,391,Afternoon,0
66,48,Female,Mobile,Electronics,3,6,587,Morning,0
67,32,Male,Mobile,Electronics,15,15,147,Morning,0
68,25,Female,Tablet,Fashion,13,23,209,Night,0
69,31,Female,Desktop,Fashion,15,16,344,Afternoon,1
70,40,Female,Mobile,Travel,8,4,456,Afternoon,0
71,57,Female,Desktop,Electronics,3,28,357,Morning,0
72,38,Female,Mobile,Travel,5,26,287,Afternoon,1
73,33,Male,Tablet,Fashion,0,17,541,Afternoon,0
74,35,Male,Desktop,Electronics,6,9,408,Afternoon,0
75,41,Male,Desktop,Fashion,0,12,400,Afternoon,0
76,43,Male,Mobile,Travel,18,22,571,Night,0
77,42,Female,Mobile,Travel,7,19,19,Night,0
78,58,Female,Mobile,Travel,2,20,558,Night,0
79,46,Male,Desktop,Electronics,0,26,68,Night,1
80,32,Female,Tablet,Fashion,0,12,97,Night,0
81,18,Male,Tablet,Fashion,6,22,468,Afternoon,0
82,42,Male,Mobile,Travel,12,6,113,Morning,0
83,24,Male,Tablet,Travel,0,12,113,Morning,0
84,26,Female,Mobile,Travel,15,9,263,Night,0
85,41,Female,Tablet,Travel,13,20,344,Afternoon,1
86,18,Female,Desktop,Food,3,5,472,Night,0
87,25,Female,Mobile,Food,11,21,558,Morning,0
88,41,Male,Tablet,Food,11,3,310,Afternoon,0
89,28,Female,Desktop,Travel,16,2,564,Afternoon,0
90,34,Female,Tablet,Travel,14,8,350,Afternoon,1
91,25,Female,Desktop,Fashion,9,10,501,Morning,0
92,52,Male,Desktop,Electronics,2,15,93,Morning,0
93,52,Male,Tablet,Fashion,19,9,268,Night,1
94,50,Female,Tablet,Food,19,10,369,Night,0
95,22,Female,Desktop,Fashion,11,11,96,Morning,0
96,59,Female,Desktop,Travel,0,29,437,Night,1
97,56,Female,Desktop,Food,0,9,376,Morning,1
98,58,Male,Mobile,Food,9,14,352,Afternoon,0
99,45,Female,Desktop,Electronics,17,5,356,Night,0
100,24,Female,Mobile,Electronics,14,27,105,Morning,0
101,26,Female,Desktop,Food,1,9,264,Morning,0
102,25,Male,Mobile,Food,16,4,145,Morning,0
103,29,Male,Desktop,Fashion,7,2,257,Night,1
104,51,Female,Desktop,Food,8,19,508,Night,0
105,50,Female,Desktop,Travel,19,1,495,Afternoon,0
106,40,Female,Tablet,Fashion,10,21,411,Night,0
107,41,Female,Tablet,Travel,5,1,421,Night,0
108,54,Female,Desktop,Travel,13,12,457,Night,0
109,52,Male,Mobile,Travel,0,11,256,Afternoon,1
110,57,Male,Mobile,Food,6,1,430,Afternoon,0
111,39,Male,Desktop,Electronics,8,14,133,Afternoon,0
112,44,Female,Tablet,Electronics,10,27,269,Night,0
113,52,Male,Mobile,Travel,15,11,178,Morning,1
114,18,Male,Tablet,Food,18,29,120,Night,1
115,52,Male,Mobile,Fashion,1,7,299,Afternoon,1
116,54,Female,Desktop,Travel,14,2,22,Night,0
117,31,Female,Tablet,Fashion,2,15,272,Night,1
118,20,Male,Mobile,Fashion,3,8,32,Morning,0
119,18,Female,Desktop,Food,19,22,209,Morning,0
120,22,Male,Desktop,Food,6,20,251,Night,1
121,43,Male,Desktop,Electronics,11,25,248,Afternoon,1
122,31,Male,Tablet,Electronics,3,15,312,Night,1
123,56,Male,Tablet,Food,9,26,174,Night,0
124,44,Female,Desktop,Travel,5,8,185,Night,0
125,26,Female,Tablet,Electronics,13,29,38,Afternoon,1
126,32,Female,Mobile,Fashion,2,10,544,Afternoon,0
127,32,Female,Desktop,Travel,16,19,303,Afternoon,0
128,43,Male,Desktop,Fashion,10,3,486,Afternoon,1
129,59,Female,Tablet,Food,9,20,392,Afternoon,0
130,30,Male,Desktop,Fashion,9,14,565,Night,1
131,49,Female,Mobile,Travel,9,9,305,Afternoon,1
132,56,Female,Tablet,Food,2,9,343,Night,0
133,49,Female,Tablet,Travel,14,21,257,Night,0
134,21,Male,Desktop,Fashion,16,28,250,Night,0
135,47,Male,Desktop,Travel,17,25,115,Morning,1
136,54,Male,Desktop,Food,18,6,570,Afternoon,0
137,40,Male,Tablet,Fashion,18,8,132,Afternoon,0
138,56,Female,Desktop,Fashion,11,11,44,Night,0
139,32,Male,Mobile,Electronics,4,8,425,Morning,0
140,46,Male,Desktop,Electronics,15,12,336,Afternoon,0
141,53,Female,Desktop,Travel,14,10,304,Night,1
142,30,Female,Tablet,Electronics,14,23,441,Morning,1
143,49,Male,Desktop,Electronics,5,4,356,Night,0
144,24,Female,Tablet,Electronics,11,16,46,Morning,0
145,39,Male,Desktop,Electronics,1,20,521,Night,0
146,45,Female,Mobile,Food,19,6,544,Afternoon,0
147,19,Male,Mobile,Food,8,9,27,Night,0
148,59,Male,Tablet,Electronics,3,23,36,Night,1
149,23,Male,Tablet,Travel,4,5,545,Morning,0
150,45,Male,Desktop,Food,7,21,38,Morning,0
151,45,Male,Desktop,Electronics,9,24,126,Afternoon,0
152,37,Female,Mobile,Food,6,6,141,Night,1
153,47,Male,Desktop,Fashion,13,17,298,Morning,0
154,28,Male,Mobile,Food,4,17,245,Afternoon,0
155,45,Male,Tablet,Food,15,25,51,Afternoon,0
156,42,Male,Desktop,Travel,14,24,169,Morning,0
157,56,Male,Tablet,Food,4,22,134,Morning,0
158,50,Female,Desktop,Travel,2,13,269,Night,0
159,18,Female,Mobile,Fashion,9,17,285,Afternoon,0
160,44,Male,Tablet,Electronics,4,14,222,Morning,1
161,30,Female,Tablet,Travel,14,2,482,Afternoon,1
162,58,Male,Desktop,Food,17,26,579,Night,0
163,20,Female,Tablet,Food,7,19,440,Morning,1
164,56,Female,Mobile,Travel,1,26,89,Afternoon,0
165,23,Male,Tablet,Fashion,7,28,237,Morning,1
166,25,Female,Tablet,Electronics,7,3,104,Night,0
167,44,Female,Desktop,Food,3,2,433,Night,0
168,26,Male,Tablet,Fashion,18,28,525,Night,0
169,54,Male,Desktop,Electronics,17,2,174,Night,0
170,50,Female,Desktop,Electronics,0,22,435,Morning,0
171,59,Female,Tablet,Food,19,7,51,Morning,0
172,41,Female,Mobile,Travel,14,4,412,Afternoon,0
173,32,Male,Desktop,Food,17,17,425,Afternoon,1
174,49,Female,Tablet,Food,11,6,309,Morning,0
175,49,Female,Desktop,Food,0,7,64,Morning,1
176,41,Female,Mobile,Fashion,6,20,345,Afternoon,1
177,58,Male,Mobile,Travel,18,6,439,Morning,0
178,29,Male,Desktop,Fashion,0,9,343,Night,0
179,56,Male,Mobile,Food,6,20,415,Night,0
180,19,Male,Tablet,Travel,1,28,39,Night,1
181,20,Female,Tablet,Electronics,6,26,544,Afternoon,0
182,54,Male,Desktop,Travel,18,4,526,Morning,1
183,34,Female,Mobile,Food,12,26,584,Afternoon,1
184,19,Female,Tablet,Travel,4,28,230,Afternoon,1
185,19,Female,Tablet,Electronics,18,5,503,Morning,0
186,45,Female,Tablet,Electronics,0,19,262,Afternoon,0
187,40,Male,Desktop,Travel,0,10,573,Night,1
188,54,Male,Desktop,Electronics,17,18,330,Morning,1
189,49,Male,Tablet,Fashion,0,15,48,Night,0
190,50,Male,Tablet,Travel,4,25,474,Night,0
191,18,Male,Mobile,Electronics,8,29,420,Morning,0
192,36,Female,Mobile,Electronics,11,1,421,Night,0
193,19,Male,Mobile,Travel,8,5,501,Night,1
194,43,Male,Desktop,Fashion,17,5,447,Night,0
195,49,Male,Tablet,Travel,10,8,488,Morning,0
196,23,Male,Desktop,Electronics,0,22,81,Morning,0
197,49,Female,Tablet,Travel,18,22,591,Morning,1
198,21,Female,Mobile,Electronics,9,22,229,Afternoon,0
199,28,Female,Mobile,Food,1,20,13,Night,0
200,34,Female,Mobile,Travel,6,15,299,Afternoon,0
201,55,Female,Mobile,Travel,19,17,389,Afternoon,0
202,41,Male,Tablet,Electronics,1,19,364,Night,0
203,22,Female,Mobile,Electronics,18,29,89,Morning,0
204,51,Female,Tablet,Electronics,5,13,75,Afternoon,0
205,23,Female,Tablet,Electronics,9,26,145,Morning,0
206,39,Male,Desktop,Travel,8,28,408,Morning,1
207,28,Male,Mobile,Electronics,7,27,356,Night,0
208,33,Female,Mobile,Travel,10,22,68,Afternoon,0
209,50,Male,Desktop,Fashion,8,21,528,Afternoon,0
210,26,Male,Tablet,Travel,19,10,246,Morning,0
211,23,Female,Mobile,Electronics,19,17,88,Night,0
212,33,Male,Tablet,Electronics,8,5,567,Afternoon,1
213,46,Male,Desktop,Fashion,7,18,124,Morning,0
214,20,Male,Tablet,Travel,14,17,471,Morning,1
215,37,Female,Mobile,Fashion,1,4,135,Morning,0
216,53,Female,Tablet,Travel,0,22,582,Night,0
217,36,Female,Tablet,Electronics,8,7,509,Night,1
218,43,Male,Mobile,Travel,8,25,111,Morning,0
219,20,Female,Mobile,Electronics,12,5,183,Morning,0
220,36,Male,Tablet,Electronics,7,8,461,Night,1
221,37,Male,Tablet,Food,4,8,101,Morning,0
222,49,Male,Desktop,Food,2,11,394,Morning,0
223,24,Female,Mobile,Travel,3,9,214,Night,0
224,58,Female,Tablet,Electronics,16,19,372,Morning,1
225,50,Female,Mobile,Fashion,15,19,507,Morning,0
226,57,Female,Desktop,Electronics,15,9,546,Morning,0
227,56,Male,Tablet,Fashion,19,23,243,Night,1
228,35,Female,Tablet,Travel,2,20,25,Night,0
229,57,Male,Tablet,Travel,5,17,150,Night,0
230,18,Female,Mobile,Fashion,0,16,429,Afternoon,1
231,28,Female,Desktop,Fashion,15,7,465,Afternoon,0
232,45,Female,Mobile,Electronics,14,26,309,Afternoon,0
233,42,Male,Tablet,Travel,6,22,348,Afternoon,0
234,40,Male,Desktop,Electronics,1,3,312,Night,1
235,48,Male,Tablet,Fashion,9,21,85,Morning,0
236,47,Male,Tablet,Food,14,19,325,Night,1
237,59,Male,Mobile,Food,5,8,509,Afternoon,0
238,52,Female,Tablet,Food,1,5,84,Night,0
239,24,Male,Desktop,Fashion,16,26,375,Morning,0
240,33,Male,Tablet,Electronics,0,26,555,Afternoon,0
241,43,Male,Tablet,Travel,0,6,405,Morning,0
242,19,Male,Mobile,Fashion,3,2,240,Morning,1
243,18,Female,Desktop,Food,19,24,37,Morning,0
244,29,Male,Mobile,Electronics,15,25,484,Afternoon,0
245,22,Female,Tablet,Travel,7,19,304,Night,1
246,54,Female,Mobile,Travel,0,13,436,Afternoon,0
247,49,Female,Mobile,Fashion,18,6,100,Afternoon,1
248,26,Male,Mobile,Fashion,10,6,124,Night,0
249,58,Female,Mobile,Travel,16,2,168,Night,0
250,52,Male,Tablet,Travel,9,26,267,Night,1
251,36,Male,Tablet,Food,11,24,382,Night,1
252,33,Male,Desktop,Travel,8,5,99,Morning,0
253,20,Male,Mobile,Fashion,6,11,307,Afternoon,0
254,37,Male,Mobile,Electronics,11,11,40,Afternoon,0
255,41,Female,Desktop,Food,14,24,367,Afternoon,0
256,50,Female,Mobile,Food,7,14,479,Night,1
257,41,Male,Desktop,Travel,16,13,137,Afternoon,0
258,28,Female,Tablet,Electronics,4,8,279,Morning,1
259,25,Male,Desktop,Food,13,15,507,Afternoon,0
260,53,Female,Mobile,Fashion,1,12,422,Afternoon,0
261,55,Female,Desktop,Travel,15,3,218,Morning,1
262,57,Female,Tablet,Fashion,16,21,315,Morning,0
263,37,Female,Mobile,Travel,2,23,200,Afternoon,1
264,52,Female,Tablet,Food,0,5,366,Night,0
265,42,Male,Tablet,Travel,17,6,466,Night,0
266,52,Male,Desktop,Electronics,17,2,458,Afternoon,0
267,42,Female,Tablet,Fashion,3,8,77,Afternoon,1
268,46,Male,Mobile,Electronics,14,5,476,Afternoon,0
269,35,Female,Tablet,Fashion,18,22,369,Afternoon,0
270,35,Male,Tablet,Fashion,18,17,396,Night,0
271,19,Female,Desktop,Travel,9,26,137,Afternoon,0
272,52,Female,Tablet,Food,4,2,494,Morning,0
273,33,Female,Desktop,Food,18,11,253,Night,0
274,58,Male,Desktop,Electronics,10,4,28,Night,0
275,53,Male,Mobile,Travel,6,11,405,Morning,0
276,50,Female,Mobile,Food,4,9,238,Afternoon,1
277,21,Female,Mobile,Fashion,19,6,377,Afternoon,1
278,50,Male,Mobile,Fashion,11,24,67,Afternoon,0
279,31,Male,Desktop,Travel,18,2,290,Afternoon,0
280,38,Male,Tablet,Electronics,14,26,566,Afternoon,0
281,37,Male,Mobile,Travel,11,15,111,Morning,0
282,25,Male,Mobile,Electronics,3,5,57,Afternoon,1
283,24,Female,Mobile,Travel,11,28,571,Morning,0
284,20,Male,Tablet,Fashion,17,12,68,Morning,0
285,34,Female,Mobile,Travel,16,13,170,Morning,1
286,50,Female,Tablet,Food,18,17,112,Afternoon,0
287,29,Male,Desktop,Food,15,4,421,Afternoon,0
288,39,Male,Desktop,Travel,10,10,192,Night,0
289,39,Female,Desktop,Electronics,1,1,426,Night,0
290,47,Male,Tablet,Electronics,15,11,125,Morning,0
291,55,Female,Mobile,Fashion,0,16,408,Night,0
292,55,Male,Mobile,Fashion,16,11,446,Morning,0
293,25,Male,Mobile,Electronics,17,9,327,Night,1
294,44,Male,Mobile,Travel,12,2,259,Afternoon,0
295,44,Female,Mobile,Fashion,4,7,456,Afternoon,0
296,51,Male,Tablet,Electronics,5,19,506,Morning,0
297,38,Female,Desktop,Electronics,0,18,352,Morning,0
298,47,Male,Mobile,Travel,9,29,436,Afternoon,0
299,50,Female,Desktop,Food,4,20,249,Afternoon,0
300,45,Male,Tablet,Electronics,0,7,68,Afternoon,0
301,50,Female,Tablet,Fashion,10,23,536,Night,0
302,22,Female,Mobile,Travel,6,9,212,Night,0
303,36,Female,Tablet,Travel,17,12,475,Night,1
304,21,Female,Desktop,Travel,19,29,305,Night,0
305,52,Female,Mobile,Food,9,3,296,Morning,1
306,34,Female,Mobile,Food,14,23,82,Morning,0
307,45,Male,Desktop,Fashion,3,22,532,Night,0
308,47,Female,Mobile,Fashion,15,26,346,Morning,0
309,46,Female,Mobile,Travel,14,16,327,Night,1
310,23,Female,Desktop,Fashion,14,7,212,Night,1
311,52,Male,Mobile,Electronics,11,23,240,Afternoon,1
312,58,Male,Mobile,Food,7,26,572,Night,1
313,54,Male,Desktop,Travel,7,5,66,Morning,0
314,41,Female,Tablet,Travel,17,25,429,Night,1
315,46,Male,Desktop,Electronics,5,23,289,Afternoon,1
316,48,Male,Mobile,Electronics,4,7,314,Morning,0
317,52,Female,Desktop,Electronics,1,28,475,Afternoon,1
318,50,Female,Mobile,Electronics,11,19,183,Night,0
319,38,Male,Mobile,Travel,3,17,275,Night,1
320,49,Female,Desktop,Food,12,16,256,Night,1
321,40,Female,Mobile,Food,16,21,87,Night,1
322,50,Female,Tablet,Electronics,15,24,262,Morning,1
323,20,Female,Mobile,Fashion,8,21,484,Night,0
324,35,Male,Desktop,Travel,0,26,185,Afternoon,0
325,42,Female,Tablet,Food,14,19,430,Morning,0
326,59,Male,Tablet,Electronics,11,25,581,Morning,0
327,48,Male,Mobile,Fashion,4,18,470,Morning,0
328,20,Male,Desktop,Fashion,17,19,263,Afternoon,0
329,57,Male,Mobile,Electronics,19,28,529,Afternoon,0
330,41,Female,Mobile,Travel,1,4,116,Afternoon,1
331,49,Female,Desktop,Food,3,26,180,Afternoon,1
332,39,Female,Desktop,Fashion,14,1,67,Night,0
333,40,Male,Mobile,Food,5,27,346,Night,0
334,19,Male,Tablet,Food,11,4,351,Afternoon,0
335,44,Male,Mobile,Fashion,17,4,299,Afternoon,0
336,59,Female,Tablet,Electronics,19,9,93,Night,0
337,19,Male,Mobile,Fashion,3,8,126,Night,1
338,43,Female,Desktop,Fashion,0,2,543,Afternoon,0
339,34,Female,Tablet,Travel,14,29,228,Morning,1
340,57,Female,Desktop,Food,17,23,111,Morning,0
341,50,Female,Desktop,Electronics,13,6,465,Afternoon,0
342,26,Male,Desktop,Food,2,23,535,Morning,1
343,56,Female,Desktop,Fashion,14,11,275,Night,0
344,46,Male,Desktop,Electronics,4,4,296,Morning,0
345,59,Female,Mobile,Electronics,2,14,150,Afternoon,1
346,43,Male,Tablet,Electronics,6,21,415,Morning,0
347,52,Male,Mobile,Electronics,5,22,302,Morning,0
348,42,Female,Mobile,Travel,0,9,40,Morning,0
349,41,Female,Mobile,Electronics,18,2,180,Night,1
350,30,Female,Desktop,Fashion,6,27,364,Night,0
351,24,Male,Mobile,Travel,3,25,214,Night,1
352,53,Female,Tablet,Fashion,11,26,487,Afternoon,0
353,37,Female,Mobile,Fashion,19,1,300,Morning,0
354,18,Male,Desktop,Food,17,4,120,Night,0
355,25,Female,Tablet,Electronics,8,12,77,Night,0
356,33,Male,Tablet,Electronics,18,5,382,Morning,0
357,31,Female,Tablet,Fashion,3,9,205,Afternoon,0
358,29,Male,Tablet,Electronics,0,22,135,Morning,0
359,40,Male,Mobile,Travel,8,4,271,Afternoon,0
360,32,Female,Desktop,Food,14,16,164,Morning,1
361,45,Male,Tablet,Electronics,7,2,590,Night,0
362,51,Female,Tablet,Electronics,14,16,117,Night,1
363,19,Female,Desktop,Travel,14,16,432,Night,1
364,49,Male,Mobile,Food,17,21,44,Afternoon,0
365,40,Female,Tablet,Travel,6,24,53,Morning,0
366,39,Male,Mobile,Fashion,17,24,425,Afternoon,0
367,42,Male,Mobile,Fashion,15,22,294,Night,1
368,39,Male,Mobile,Electronics,1,11,456,Afternoon,0
369,39,Male,Mobile,Food,3,1,527,Afternoon,1
370,59,Male,Tablet,Fashion,19,15,36,Afternoon,0
371,23,Male,Tablet,Travel,15,24,236,Morning,1
372,32,Male,Mobile,Fashion,2,4,434,Afternoon,0
373,54,Male,Mobile,Fashion,1,18,577,Afternoon,1
374,50,Female,Desktop,Travel,2,17,377,Afternoon,0
375,25,Female,Desktop,Electronics,4,7,319,Night,0
376,22,Male,Desktop,Food,1,18,114,Night,0
377,56,Female,Tablet,Electronics,18,13,27,Morning,0
378,21,Female,Desktop,Travel,19,20,214,Night,0
379,23,Female,Tablet,Fashion,1,20,52,Morning,0
380,49,Female,Tablet,Food,1,29,98,Night,0
381,47,Female,Tablet,Electronics,19,10,595,Morning,0
382,52,Female,Tablet,Travel,17,1,166,Morning,0
383,57,Male,Desktop,Fashion,19,2,275,Morning,0
384,33,Female,Mobile,Fashion,13,17,143,Night,1
385,30,Female,Mobile,Electronics,14,22,473,Afternoon,0
386,59,Female,Mobile,Travel,11,29,141,Night,0
387,47,Female,Desktop,Fashion,10,3,43,Afternoon,0
388,36,Male,Mobile,Fashion,10,17,92,Night,1
389,34,Male,Desktop,Food,6,12,141,Afternoon,0
390,36,Male,Desktop,Fashion,11,24,437,Night,1
391,45,Male,Desktop,Electronics,15,12,213,Morning,0
392,43,Female,Mobile,Travel,4,20,345,Morning,1
393,54,Male,Mobile,Travel,1,10,506,Morning,0
394,43,Male,Mobile,Food,15,7,451,Afternoon,1
395,40,Male,Tablet,Travel,14,10,267,Afternoon,0
396,26,Male,Desktop,Electronics,10,18,301,Morning,0
397,29,Female,Tablet,Fashion,5,22,134,Afternoon,0
398,18,Male,Desktop,Food,12,6,184,Morning,1
399,18,Female,Mobile,Travel,18,7,501,Night,1
400,51,Male,Desktop,Food,9,28,89,Afternoon,1
401,49,Female,Desktop,Food,18,17,314,Afternoon,0
402,42,Female,Tablet,Travel,4,12,519,Night,0
403,57,Male,Desktop,Food,6,17,353,Afternoon,0
404,18,Male,Mobile,Travel,10,18,579,Afternoon,0
405,33,Male,Desktop,Electronics,13,14,100,Afternoon,1
406,56,Male,Desktop,Travel,15,11,178,Night,0
407,22,Female,Desktop,Fashion,17,2,343,Morning,0
408,39,Female,Tablet,Travel,3,21,245,Morning,0
409,46,Male,Desktop,Fashion,0,1,408,Night,1
410,20,Male,Desktop,Food,14,11,597,Night,0
411,29,Female,Tablet,Travel,13,2,486,Night,1
412,43,Male,Tablet,Fashion,18,16,544,Morning,0
413,33,Female,Tablet,Travel,4,22,594,Night,1
414,54,Male,Tablet,Travel,3,3,97,Morning,0
415,39,Female,Mobile,Travel,12,20,262,Night,0
416,46,Female,Mobile,Electronics,17,1,367,Afternoon,1
417,31,Female,Desktop,Fashion,11,21,67,Morning,0
418,45,Female,Mobile,Electronics,14,20,408,Morning,0
419,22,Female,Desktop,Electronics,8,8,530,Night,0
420,47,Male,Mobile,Fashion,3,19,534,Afternoon,0
421,22,Female,Tablet,Travel,4,26,426,Morning,1
422,29,Male,Tablet,Electronics,8,1,402,Night,0
423,33,Female,Mobile,Electronics,12,29,231,Afternoon,1
424,43,Female,Mobile,Electronics,9,26,338,Morning,0
425,43,Male,Desktop,Travel,15,5,381,Night,0
426,38,Male,Desktop,Electronics,12,1,520,Afternoon,0
427,56,Male,Desktop,Food,3,11,162,Morning,1
428,53,Male,Tablet,Fashion,12,21,489,Morning,1
429,50,Female,Tablet,Food,7,9,592,Afternoon,0
430,47,Male,Tablet,Travel,12,5,29,Night,0
431,54,Female,Tablet,Electronics,14,2,237,Night,1
432,40,Male,Desktop,Fashion,19,13,355,Afternoon,1
433,27,Male,Tablet,Electronics,19,18,28,Morning,1
434,22,Female,Tablet,Travel,12,26,453,Afternoon,0
435,53,Female,Tablet,Fashion,4,25,377,Afternoon,0
436,51,Male,Tablet,Food,5,12,156,Afternoon,0
437,48,Female,Mobile,Fashion,4,14,513,Morning,0
438,27,Female,Desktop,Electronics,12,5,439,Afternoon,1
439,36,Female,Desktop,Fashion,4,27,449,Afternoon,0
440,49,Female,Tablet,Travel,12,24,207,Morning,1
441,18,Female,Mobile,Travel,19,10,296,Morning,0
442,22,Female,Desktop,Fashion,7,20,574,Afternoon,0
443,21,Female,Desktop,Travel,8,2,378,Night,0
444,33,Female,Tablet,Travel,18,4,249,Afternoon,0
445,41,Male,Tablet,Travel,19,12,296,Morning,0
446,33,Female,Desktop,Food,14,11,404,Morning,0
447,19,Male,Desktop,Electronics,9,4,527,Morning,1
448,45,Female,Mobile,Travel,10,11,570,Night,0
449,49,Female,Desktop,Fashion,4,9,69,Morning,1
450,44,Female,Desktop,Travel,8,10,554,Night,1
451,37,Female,Tablet,Food,10,27,312,Morning,1
452,41,Male,Desktop,Fashion,18,6,253,Morning,1
453,29,Male,Tablet,Electronics,1,15,216,Afternoon,0
454,52,Female,Desktop,Fashion,5,10,384,Night,0
455,50,Male,Desktop,Fashion,0,22,292,Afternoon,1
456,50,Female,Desktop,Fashion,2,21,487,Night,0
457,54,Female,Mobile,Fashion,2,6,31,Morning,0
458,29,Male,Tablet,Travel,13,1,568,Morning,1
459,20,Male,Mobile,Electronics,19,29,358,Night,0
460,18,Female,Desktop,Travel,4,21,498,Afternoon,1
461,50,Female,Mobile,Food,16,28,267,Night,0
462,57,Male,Tablet,Food,14,22,56,Night,1
463,27,Female,Desktop,Fashion,5,24,36,Night,1
464,46,Male,Mobile,Travel,13,20,36,Morning,0
465,30,Female,Mobile,Travel,13,21,406,Night,0
466,29,Female,Tablet,Electronics,16,4,154,Morning,0
467,48,Male,Mobile,Electronics,7,23,596,Afternoon,0
468,19,Male,Tablet,Electronics,7,26,531,Morning,1
469,52,Male,Desktop,Travel,18,22,130,Afternoon,0
470,40,Female,Desktop,Electronics,8,14,471,Afternoon,0
471,34,Female,Mobile,Electronics,10,20,391,Afternoon,0
472,43,Female,Desktop,Electronics,12,22,427,Morning,0
473,25,Female,Desktop,Fashion,12,29,336,Night,0
474,46,Male,Mobile,Food,18,20,400,Morning,1
475,43,Female,Desktop,Food,18,28,306,Afternoon,0
476,27,Female,Mobile,Travel,4,8,93,Night,0
477,43,Female,Tablet,Travel,15,11,155,Morning,0
478,51,Male,Tablet,Fashion,8,15,180,Afternoon,1
479,58,Female,Tablet,Food,19,19,343,Afternoon,0
480,24,Female,Mobile,Electronics,2,8,433,Night,0
481,21,Male,Mobile,Electronics,18,13,318,Morning,0
482,28,Female,Desktop,Travel,4,18,535,Night,1
483,46,Female,Desktop,Food,7,22,578,Night,0
484,53,Male,Desktop,Travel,13,24,356,Night,0
485,42,Female,Desktop,Travel,2,17,311,Night,0
486,38,Female,Desktop,Electronics,12,6,356,Morning,1
